title,body,labels,milestone
EPIC: Stage 1 — Improve demand forecasting by case type,"Window: 10 Nov 2025 → 9 Jan 2026 | Goal: dependable forecasts split by agreed case types with visuals & ranges.

Sub-issues:
- #2 Agree case type definitions & tracking (10–21 Nov 2025)
- #3 Deliver improved forecasting by case type (24 Nov 2025 – 9 Jan 2026)","epic, stage-1, forecasting, priority-P0",Stage 1 — Forecasting by Case Type
Agree case type definitions & tracking (10–21 Nov 2025),"Scope: agree taxonomy + tracking; update data dictionary & mappings.
Deliverables: /docs taxonomy, ETL mapping, sign-off.
Start: 2025-11-10 | End: 2025-11-21","task, stage-1, data, governance, priority-P0",Stage 1 — Forecasting by Case Type
Deliver improved forecasting by case type (24 Nov 2025 – 9 Jan 2026),"Scope: implement forecasting split by case type; validate; publish dashboards.
Deliverables: /src code, CI smoke tests, dashboard.
Start: 2025-11-24 | End: 2026-01-09","task, stage-1, forecasting, analytics, priority-P0",Stage 1 — Forecasting by Case Type
EPIC: Stage 2 — Model operational dynamics,Window: 12 Jan 2026 → 3 Apr 2026 | Goal: model key operational dynamics building on Stage 1.,"epic, stage-2, operations, priority-P0",Stage 2 — Operational Dynamics
Specific events (12–23 Jan 2026),"Identify/model discrete events (policy/system).
Outputs: event log schema, sensitivity toggles.
Start: 2026-01-12 | End: 2026-01-23","task, stage-2, ops, simulation, priority-P1",Stage 2 — Operational Dynamics
Track new cases from start (26 Jan – 6 Feb 2026),"Ensure intake tracking from receipt.
Outputs: intake pipeline update, CI checks.
Start: 2026-01-26 | End: 2026-02-06","task, stage-2, data, pipeline, priority-P1",Stage 2 — Operational Dynamics
Time intervals & task productivity (9–27 Feb 2026),"Model service-time distributions & productivity.
Outputs: interval notebooks, case_type×risk params.
Start: 2026-02-09 | End: 2026-02-27","task, stage-2, analytics, intervals, priority-P1",Stage 2 — Operational Dynamics
Demand distribution by case type (2–13 Mar 2026),"Link Stage 1 definitions to demand mix; allocation-ready splits.
Outputs: demand mix tables, validation report.
Start: 2026-03-02 | End: 2026-03-13","task, stage-2, forecasting, modelling, priority-P1",Stage 2 — Operational Dynamics
Staff attrition & grade distribution (16 Mar – 3 Apr 2026),"Quantify attrition and staffing by grade; feed staffing modules.
Outputs: attrition scenarios, staffing inputs.
Start: 2026-03-16 | End: 2026-04-03","task, stage-2, workforce, simulation, priority-P1",Stage 2 — Operational Dynamics
Decision: Simul8 vs Python (6–10 Apr 2026),"Options appraisal and decision record.
Outputs: decision paper (effort, risk, timeline) and Go/No-Go.
Start: 2026-04-06 | End: 2026-04-10","decision, stage-2, governance, priority-P0",Decision — Simul8 vs Python
EPIC: Stage 3A — End-to-end (“concern to court”) with Simul8,"Window: 13 Apr 2026 → 31 Jul 2026 | Goal: faster delivery using Simul8 to explore capability, bottlenecks, policy interventions.
Milestone: model ready by 31 Jul 2026.","epic, stage-3A, simulation, simul8, priority-P1",Stage 3A — End-to-end with Simul8
Capability analysis (13 Apr – 8 May 2026) — Simul8,"Stand up Simul8 baseline; assess system capability. Outputs: baseline build, calibration notes.","task, stage-3A, simulation, simul8, priority-P2",Stage 3A — End-to-end with Simul8
Identify bottlenecks & re-engineering (11 May – 5 Jun 2026) — Simul8,"Locate constraints; draft improvements. Outputs: diagnostics, improvement scenarios.","task, stage-3A, ops, improvement, priority-P2",Stage 3A — End-to-end with Simul8
Layer policy interventions (8 Jun – 31 Jul 2026) — Simul8,"Design & test policy levers/prioritisation. Outputs: scenario pack, final model.","task, stage-3A, policy, simulation, priority-P2",Stage 3A — End-to-end with Simul8
EPIC: Stage 3B — End-to-end (“concern to court”) with Python DES,"Window: 13 Apr 2026 → 25 Sep 2026 | Goal: build Python DES if Simul8 unavailable.
Milestone: model ready by 25 Sep 2026.","epic, stage-3B, simulation, python, priority-P1",Stage 3B — End-to-end with Python
Capability analysis (13 Apr – 5 Jun 2026) — Python DES,"Stand up Python DES scaffolding and calibrate. Outputs: /src/sim scaffolding, calibration report.","task, stage-3B, simulation, python, priority-P2",Stage 3B — End-to-end with Python
Identify bottlenecks & re-engineering (8 Jun – 14 Aug 2026) — Python DES,"Run scenarios; propose improvements. Outputs: diagnostics, improvement scenarios.","task, stage-3B, ops, improvement, priority-P2",Stage 3B — End-to-end with Python
Layer policy interventions (17 Aug – 25 Sep 2026) — Python DES,"Design & test policy levers/prioritisation. Outputs: scenario pack, final model.","task, stage-3B, policy, simulation, priority-P2",Stage 3B — End-to-end with Python
